aaaamon.dll,Aaaa Monitor DLL
aaclient.dll,Anywhere access client
acctres.dll,Microsoft Internet Account Manager Resources
acledit.dll,Access Control List Editor
aclui.dll,Security Descriptor Editor
activeds.dll,ADs Router Layer DLL
actxprxy.dll,ActiveX Interface Marshaling Library
admparse.dll,IEAK Global Policy Template Parser
adptif.dll,IPX Interface via WinSock
adsldp.dll,ADs LDAP Provider DLL
adsldpc.dll,ADs LDAP Provider C DLL
adsmsext.dll,ADs LDAP Provider DLL
adsnds.dll,ADs NDS Provider DLL
adsnt.dll,ADs Windows NT Provider DLL
adsnw.dll,ADs Netware 3.12 Provider DLL
advapi32.dll,Advanced Windows 32 Base API
advpack.dll,ADVPACK
alrsvc.dll,Alerter Service DLL
amstream.dll,DirectShow Runtime.
apcups.dll,APC Smart Provider
apphelp.dll,Application Compatibility Client Library
appmgmts.dll,Software installation Service
appmgr.dll,Software Installation Snapin Extenstion
asferror.dll,ASF Error Definitions
asycfilt.dll,UNKNOWN
atkctrs.dll,Windows NT AppleTalk Perfmon Counter dll
atl.dll,ATL Module for Windows XP (Unicode)
atmpvcno.dll,Atm Epvc Install DLL
atrace.dll,Async Trace DLL
audiosrv.dll,Windows Audio Service
authz.dll,Authorization Framework
autodisc.dll,Windows AutoDiscovery API
avicap32.dll,AVI Capture window class
avifil32.dll,Microsoft AVI File support library
avmeter.dll,Metering Controls
avtapi.dll,TAPI 3.0 Dialer and IP Multicast Conference Viewer
avwav.dll,Wave Manipulation Component
azroles.dll,azroles Module
basesrv.dll,Windows NT BASE API Server DLL
batmeter.dll,Battery Meter Helper DLL
batt.dll,Battery Class Installer
bidispl.dll,Bidispl DLL
bitsprx2.dll,Background Intelligent Transfer Service Proxy
bitsprx3.dll,Background Intelligent Transfer Service 2.0 Proxy
bitsprx4.dll,Background Intelligent Transfer Service 2.5 Proxy
blackbox.dll,BlackBox DLL
bootvid.dll,VGA Boot Driver
browselc.dll,Shell Browser UI Library
browser.dll,Computer Browser Service DLL
browseui.dll,Shell Browser UI Library
browsewm.dll,BrowseWM Player
bthci.dll,Bluetooth Class Installer
bthserv.dll,Bluetooth Support Service
btpanui.dll,Bluetooth PAN User Interface
c_g18030.dll,GB18030 DBCS-Unicode Conversion DLL
c_is2022.dll,ISO-2022 Code Page Translation DLL
c_iscii.dll,ISCII Code Page Translation DLL
cabinet.dll,Microsoft® Cabinet File API
cabview.dll,Cabinet File Viewer Shell Extension
camocx.dll,WIA Camera View DLL
capesnpn.dll,Microsoft® Certificate Template Management Extension
cards.dll,Entertainment Pack Cardplaying Helper DLL
catsrv.dll,UNKNOWN
catsrvps.dll,UNKNOWN
catsrvut.dll,UNKNOWN
ccfgnt.dll,Internet Configuration Library
cdfview.dll,Channel Definition File Viewer
cdm.dll,Windows Update CDM Stub
cdmodem.dll,Modem Connection Driver
cdosys.dll,Microsoft CDO for Windows Library
certcli.dll,Microsoft® Certificate Services Client
certmgr.dll,Certificates snap-in
cewmdm.dll,Windows CE WMDM Service Provider
cfgbkend.dll,Configuration Backend Interface
cfgmgr32.dll,Configuration Manager Forwarder DLL
chsbrkr.dll,Microsoft Chinese_Simplified Word Breaker Component
chtbrkr.dll,Microsoft Traditional Chinese Word Breaker
ciadmin.dll,CI Administration (MMC)
cic.dll,CIC - MMC controls for Taskpad
ciodm.dll,Indexing Service Admin Automation Objects
clb.dll,Column List Box
clbcatex.dll,UNKNOWN
clbcatq.dll,UNKNOWN
cliconfg.dll,SQL Client Configuration Utility DLL
clusapi.dll,Cluster API Library
cmcfg32.dll,Microsoft Connection Manager Configuration Dll
cmdial32.dll,Microsoft Connection Manager
cmpbk32.dll,Microsoft Connection Manager Phonebook
cmprops.dll,WMI Snapins
cmsetacl.dll,Connection Manager ACL update
cmutil.dll,Microsoft Connection Manager Utility Lib
cnbjmon.dll,Langage Monitor for Canon Bubble-Jet Printer
cnetcfg.dll,Connection Manager Library
cnvfat.dll,FAT File System Conversion Utility DLL
colbact.dll,UNKNOWN
comaddin.dll,UNKNOWN
comcat.dll,Microsoft Component Category Manager Library
comctl32.dll,Common Controls Library
comdlg32.dll,Common Dialogs DLL
compstui.dll,Common Property Sheet User Interface DLL
comrepl.dll,UNKNOWN
comres.dll,UNKNOWN
comsnap.dll,UNKNOWN
comsvcs.dll,UNKNOWN
comuid.dll,UNKNOWN
confmsp.dll,Microsoft IP Conferencing Media Service Provider
console.dll,Control Panel Console Applet
corpol.dll,Microsoft COM Runtime Execution Engine
credssp.dll,TS Single Sign On Security Package
credui.dll,Credential Manager User Interface
crtdll.dll,Microsoft C Runtime Library
crypt32.dll,Crypto API32
cryptdlg.dll,Microsoft Common Certificate Dialogs
cryptdll.dll,Cryptography Manager
cryptext.dll,Crypto Shell Extensions
cryptnet.dll,Crypto Network Related API
cryptsvc.dll,Cryptographic Services
cryptui.dll,Microsoft Trust UI Provider
cscdll.dll,Offline Network Agent
cscui.dll,Client Side Caching UI
csrsrv.dll,Client Server Runtime Process
csseqchk.dll,CSSeqChk
ctl3d32.dll,Ctl3D 3D Windows Controls
d3d8.dll,Microsoft Direct3D
d3d8thk.dll,Microsoft Direct3D OS Thunk Layer
d3d9.dll,Microsoft Direct3D
d3dim.dll,Microsoft Direct3D
d3dim700.dll,Microsoft Direct3D
d3dpmesh.dll,Direct3D Progressive Mesh DLL
d3dramp.dll,Microsoft Direct3D
d3drm.dll,Direct3D Retained Mode DLL
d3dxof.dll,DirectX Files DLL
danim.dll,DirectX Media -- DirectAnimation
dataclen.dll,Disk Space Cleaner for Windows
datime.dll,TIME
davclnt.dll,Web DAV Client DLL
dbgeng.dll,Symbolic Debugger Engine for Windows 2000
dbghelp.dll,Windows Image Helper
dbmsrpcn.dll,ConnectTo RPC Net Library
dbnetlib.dll,Winsock Oriented Net DLL for SQL Clients
dbnmpntw.dll,Named Pipes Net DLL for SQL Clients
dciman32.dll,DCI Manager
ddraw.dll,Microsoft DirectDraw
ddrawex.dll,Direct Draw Ex
deskadp.dll,Advanced display adapter properties
deskmon.dll,Advanced display monitor properties
deskperf.dll,Advanced display performance properties
devenum.dll,Device enumeration.
devmgr.dll,Device Manager MMC Snapin
dfrgres.dll,Disk Defragmenter Resource Module
dfrgsnap.dll,Disk Defragmenter Snap-in Module
dfrgui.dll,Disk Defragmenter UI Module
dfsshlex.dll,Distributed File System shell extension
dgnet.dll,Dgnet Module
dhcpcsvc.dll,DHCP Client Service
dhcpmon.dll,DHCP Monitor Dll
dhcpqec.dll,Microsoft DHCP NAP Enforcement Client
dhcpsapi.dll,DHCP Server API Stub DLL
diactfrm.dll,Microsoft DirectInput Mapper Framework
digest.dll,Digest SSPI Authentication Package
dimap.dll,Microsoft DirectInput Mapper
dimsntfy.dll,DIMS Notification Handler
dimsroam.dll,Key Roaming DIMS Provider DLL
dinput.dll,Microsoft DirectInput
